vehicle_year,vehicle_make,vehicle_model,vehicle_vin
1990,CHEVROLET,"1500 PICKUP 2WD V8",2GCEC19K8L1164726
1990,NISSAN,300ZX,JN1CZ24A5LX006361
1990,JEEP,WRANGLER,2J4FY29T6LJ506768
1990,FORD,"MUSTANG V8",1FACP42E6LF159881
1991,ACURA,NSX,JH4NA1156MT003006
1991,JEEP,WRANGLER,2J4FY19P5MJ100379
1991,MERCEDES-BENZ,"300 SERIES",WDBEA30D8MB359452
1991,PORSCHE,911,WP0AB2965MS410840
1991,TOYOTA,SUPRA,JT2MA71N0M0156796
1991,PORSCHE,944,WP0CB2940MN440253
1991,MERCEDES-BENZ,300SE,WDBCA24D5MA598099
1992,MERCEDES-BENZ,"190 SERIES",WDBDA28D7NF956791
1992,TOYOTA,CAMRY,JT2SK12E8N0062747
1992,OLDSMOBILE,88,1G3HN53L7NH376632
1992,FORD,MUSTANG,1FACP44E3NF139135
1992,JEEP,WRANGLER,2J4FY39S7NJ559270
1992,MERCEDES-BENZ,500SEL,WDBGA51E8NA024808
1992,TOYOTA,CAMRY,4T1SK12E2NU016178
1992,HONDA,CIVIC,2HGEH2343NH526359
1992,DODGE,"D/W TRUCK",1B7JM26Z9NS544714
1992,CHEVROLET,CORVETTE,1G1YY23P6N5102034
1992,TOYOTA,CAMRY,4T1VK12E3NU023198
1992,PONTIAC,FIREBIRD,1G2FS23TXNL225591
1992,"ALFA ROMEO",SPIDER,ZARBB32NXN7003540
1992,LEXUS,"SC 400",JT8UZ30C3N0008909
1992,TOYOTA,"LAND CRUISER",JT3FJ80W0N0049849
1993,TOYOTA,CAMRY,4T1SK12EXPU303366
1993,BUICK,LESABRE,1G4HR53L7PH527973
1993,MERCEDES-BENZ,500SL,WDBFA67E5PF072510
1993,BUICK,CENTURY,1G4AG55N5P6462364
1993,FORD,RANGER,1FTCR10U2PTA38544
1993,HONDA,ACCORD,1HGCB7658PA014009
1993,CADILLAC,FLEETWOOD,1G6DW5279PR707615
1993,FORD,MUSTANG,1FACP45E9PF144048
1993,PONTIAC,FIREBIRD,2G2FV22P5P2205554
1993,FORD,RANGER,1FTCR14U9PPB75760
1993,TOYOTA,PICKUP,4TARN81A7PZ141289
1993,SATURN,"SEDAN 4D",1G8ZK5579PZ236148
1993,TOYOTA,"CAMRY 4C",4T1SK12E9PU318084
1993,TOYOTA,PICKUP,4TARN81AXPZ139830
1993,DODGE,DAKOTA,1B7FL23X5PS232453
1993,TOYOTA,PICKUP,4TARN81A9PZ090524
1993,FORD,MUSTANG,1FACP42E4PF149565
1993,LEXUS,"SC 400",JT8UZ30C4P0027391
1993,LEXUS,"ES 300",JT8VK13TXP0145115
1993,LEXUS,"LS 400",JT8UF11E6P0148503
1993,CADILLAC,"DE VILLE",1G6CD53B7P4294689
1993,CADILLAC,FLEETWOOD,1G6DW5276PR705384
1993,JEEP,CHEROKEE,1J4FT27S5PL591241
1993,TOYOTA,TERCEL,JT2EL43EXP0350606
1994,JEEP,"GRAND CHEROKEE",1J4GZ58S4RC165045
1994,BMW,"3 SERIES",WBACB3326RFE18949
1994,BMW,"3 SERIES",WBACB332XRFE18386
1994,HONDA,ACCORD,1HGCD7168RA024634
1994,TOYOTA,COROLLA,2T1AE04B8RC033381
1994,JEEP,WRANGLER,1J4FY19PXRP462654
1994,HYUNDAI,ELANTRA,KMHJF22M1RU511443
1994,MERCEDES-BENZ,E320,WDBEA66EXRC026558
1994,TOYOTA,COROLLA,1NXAE04BXRZ213489
1994,MERCEDES-BENZ,E320,WDBEA66E0RC124417
1994,MERCEDES-BENZ,E320,WDBEA66E3RC122953
1994,FORD,RANGER,1FTCR14U7RPC55061
1994,MITSUBISHI,3000GT,JA3AM54J0RY030654
1994,TOYOTA,PICKUP,4TARN01P1RZ158145
1994,CHEVROLET,"SILVERADO AND OTHER C/K1500",1GCEK19K8RE121336
1994,VOLVO,940,YV1JS8315R1172978
1994,MAZDA,RX-7,JM1FD3332R0300576
1994,TOYOTA,COROLLA,2T1AE09B1RC056154
1994,DODGE,"RAM VAN B250",2B7HB21Y4RK110851
1994,JEEP,WRANGLER,1J4FY29S7RP466283
1994,ACURA,INTEGRA,JH4DC4353RS033260
1994,TOYOTA,CAMRY,4T1SK12E6RU406674
1994,CHEVROLET,CAMARO,2G1FP22S1R2151210
1994,TOYOTA,"REGULAR CAB",4TARN01P5RZ189320
1994,TOYOTA,"LAND CRUISER",JT3DJ81W5R0070577
1994,MERCURY,"GRAND MARQUIS",2MELM74W3RX634442
1994,TOYOTA,PICKUP,4TARN81A5RZ256086
1994,ACURA,INTEGRA,JH4DC4451RS045356
1994,CADILLAC,DEVILLE,1G6KF52YORU261550
1994,JEEP,WRANGLER,1J4FY29S4RP450901
1994,TOYOTA,PICKUP,4TARN81A1RZ282619
1994,HONDA,ACCORD,1HGCD5630RA083731
1994,TOYOTA,PICKUP,4TARN01P7RZ181803
1994,OLDSMOBILE,"CUTLASS SUPREME",1G3WT35X1RD402575
1994,CHEVROLET,CORVETTE,1G1YY32P6R5121213
1994,MITSUBISHI,3000GT,JA3AN74K6RY021300
1994,PONTIAC,FIREBIRD,2G2FV22P6R2237819
1994,FORD,MUSTANG,1FALP45T1RF207368
1994,FORD,RANGER,1FTCR10U6RTB03186
1994,TOYOTA,CAMRY,4T1SK12E7RU346632
1994,FORD,MUSTANG,1FALP45D5RF158765
1994,TOYOTA,CAMRY,4T1GK13E1RU017994
1994,LINCOLN,"MARK VIII",1LNLM91V7RY613601
1994,OLDSMOBILE,"CUTLASS SUPREME",1G3WT35X6RD343751
1994,CHEVROLET,CORVETTE,1G1YY22P0R5111853
1994,JEEP,CHEROKEE,1J4FN27S8RL234973
1994,MERCURY,COUGAR,1MELM62W9RH655244
1994,TOYOTA,SUPRA,JT2JA81J8R0020073
1994,CHRYSLER,LHS,2C3HD56F0RH325728
1994,CHEVROLET,G20,1GBEG25K9RF159637
1994,DODGE,"RAM 1500 TRUCK",1B7HC16Z3RS727978
1994,FORD,"CROWN VICTORIA",2FALP73W3RX167250
1994,MERCEDES-BENZ,S500,WDBGA70EXRA171585
1994,CHEVROLET,"CAVALIER 4C",1G1JC5440R7246193
1994,MERCURY,"GRAND MARQUIS",2MELM75W5RX620265
1994,PONTIAC,"GRAND AM V6",1G2NW15M4RC774760
1994,PONTIAC,FIREBIRD,2G2FV22P3R2217754
1994,JEEP,WRANGLER,1J4FY49SXRP420006
1994,TOYOTA,CAMRY,4T1GK13E9RU032954
1994,BMW,525I,WBAHD6328RGK45718
1995,MERCEDES-BENZ,S-CLASS,WDBGA33E0SA278042
1995,TOYOTA,CAMRY,JT2SK11E3S0320508
1995,SATURN,SW,1G8ZJ8278SZ342768
1995,LEXUS,"ES 300",JT8GK13T1S0091141
1995,HONDA,ACCORD,1HGCD7138SA030008
1995,TOYOTA,CAMRY,4T1SK12E6SU513973
1995,CHRYSLER,CIRRUS,1C3EJ56H2SN564997
1995,CHEVROLET,"ASTRO PASSENGER",1GNDM19W9SB185652
1995,TOYOTA,CAMRY,4T1GK12W8SU114254
1995,BMW,M3,WBSBF9327SEH01435
1995,TOYOTA,4RUNNER,JT3VN29V8S0039282
1995,CHEVROLET,CORVETTE,1G1YY22P1S5102505
1995,"LAND ROVER",DEFENDER,SALDV3280SA980794
1995,CHEVROLET,"C/K 1500",1GCEK19K8SE102209
1995,HOND,CIVIC,2HGEH246XSH520909
1995,JEEP,"GRAND CHEROKEE",1J4GZ78Y4SC632955
1995,GMC,"SIERRA C/K1500",1GTEC14Z7SZ511473
1995,"AM GENERAL",HUMMER,4KCGBR1231F000053
1995,MERCEDES-BENZ,E320,WDBEA66E4SC281146
1995,FORD,"F150 REGULAR CAB",1FTEF15Y9SNA76346
1995,NISSAN,240SX,JN1AS44D6SW025961
1995,MERCEDES-BENZ,E320,WDBEA66E2SC206252
1995,CHEVROLET,CORVETTE,1G1YY22P9S5113851
1995,CHEVROLET,"SILVERADO AND OTHER C/K1500",1GCEC14K8SZ158423
1995,CADILLAC,SEVILLE,1G6KY5298SU829214
1995,BMW,M3,WBSBF0327SEN91608
1995,FORD,F350,2FDKF37G2SCA11777
1995,SATURN,S-SERIES,1G8ZK5277SZ267959
1995,"LAND ROVER",DEFENDER,SALDV2283SA958167
1995,CHEVROLET,CORVETTE,1G1YY32P3S5104780
1995,TOYOTA,CAMRY,4T1SK12E7SU884835
1995,LEXUS,SC,JT8UZ30C5S0046668
1995,SAAB,900,YS3DF75NXS7023382
1995,CHEVROLET,CORVETTE,1G1YY32P6S5101999
1995,MERCURY,"GRAND MARQUIS",2MELM74W3SX700431
1995,JEEP,WRANGLER,1J4FY19P6SP270427
1995,HONDA,ACCORD,1HGCE6665SA035760
1995,FORD,BRONCO,1FMEU15H1SLA58386
1995,HONDA,CIVIC,JHMEG8559SS016918
1995,CHEVROLET,CORVETTE,1G1YY22P8S5101092
1995,SATURN,S-SERIES,1G8ZH5288SZ220818
1995,HONDA,ACCORD,1HGCE6663SA004572
1995,BMW,M3,WBSBF9329SEH07141
1995,CADILLAC,SEVILLE,1G6KS52Y5SU822102
1995,GMC,"SIERRA C/K3500",1GTHC39NXSE513045
1995,CHEVROLET,"MONTE CARLO",2G1WX12X4S9167436
1995,CHEVROLET,"S10 PICKUP",1GCCS19Z1S8131635
1995,MERCEDES-BENZ,SL-CLASS,WDBFA67E6SF122856
1995,LEXUS,SC,JT8UZ30C0S0048411
1995,HONDA,ACCORD,1HGCD5660SA073717
1995,ACURA,INTEGRA,JH4DB765XSS002254
1995,FORD,F350,1FDKF38FXSNA69376
1995,VOLVO,960,YV1KS9615S1069989
1995,HUMMER,H1,137YA9037SE162747
1995,PORSCHE,911,WP0CA2997SS340485
1995,HONDA,ACCORD,JHMCD5661SC048696
1995,BMW,M3,WBSBF9324SEH07564
1995,LINCOLN,CONTINENTAL,1LNLM97V3SY746143
1995,BUICK,RIVIERA,1G4GD2218S4722652
1995,CADILLAC,"DE VILLE",1G6KD52B6S4213350
1995,LINCOLN,"TOWN CAR",1LNLM82W5SY659225
1995,INFINITI,Q45,JNKNG01D7SM302060
1995,JEEP,WRANGLER,1J4FY19P1SP248898
1995,DODGE,"RAM 3500 TRUCK",3B7MC33C4SM187470
1995,BMW,325I,WBABJ5326SJC84036
1995,ISUZU,TROOPER,JACDJ58V7S7910748
1995,BMW,325I,WBABJ6323SJD44084
1995,MERCURY,"GRAND MARQUIS",2MELM74W7SX697789
1995,CHEVROLET,IMPALA,1G1BL52PXSR158733
1995,JAGUAR,XJS,SAJNX2740SC196305
1996,LEXUS,ES,JT8BF12G1T0157515
1996,CHEVROLET,CORVETTE,1G1YY32P3T5112587
1996,JEEP,CHEROKEE,1J4FT68SXTL304766
1996,HONDA,"ACCORD WGN",1HGCE1821TA004178
1996,HOND,CIVIC,1HGEJ6674TL050432
1996,BMW,3-SERIES,WBACD4321TAV41642
1996,TOYOTA,AVALON,4T1BF12B7TU087027
1996,HONDA,CIVIC,2HGEJ6426TH121487
1996,INFINITI,I30,JNKCA21D7TT021985
1996,HONDA,CIVIC,1HGEJ8142TL035615
1996,CHEVROLET,CORVETTE,1G1YY2256T5103004
1996,FORD,F-250,1FTHX25G1TEA09961
1996,VOLVO,850,YV1LS5544T3313761
1996,FORD,F-250,1FTHX25F4TEB32239
1996,CADILLAC,DEVILLE,1G6KD52Y4TU293592
1996,TOYOTA,RAV4,JT3XP10V4T0003665
1996,HONDA,ACCORD,1HGCD563XTA256081
1996,TOYOTA,CAMRY,4T1BG12K4TU822043
1996,VOLKSWAGEN,JETTA,3VWRB81H9TM128465
1996,LEXUS,"LS 400",JT8BH22F6T0058096
1996,TOYOTA,CAMRY,4T1BG12K2TU745236
1996,FORD,EXPLORER,1FMCU22X8TUD66000
1996,ISUZU,RODEO,4S2CK58V1T4339985
1996,SUBARU,"IMPREZA WAGON",JF1GF4350TG816168
1996,GMC,YUKON,1GKEK13R2TJ706793
1996,HONDA,ACCORD,1HGCD5658TA157535
1996,TOYOTA,COROLLA,2T1BB02EXTC143558
1996,HONDA,CIVIC,2HGEJ6677TH501169
1996,AUDI,A4,WAUDA88DXTA298945
1996,TOYOTA,RAV4,JT3GP10VXT0008031
1996,CHEVROLET,CAVALIER,1G1JC1246T7262448
1996,HONDA,ACCORD,1HGCD7253TA013585
1996,FORD,RANGER,1FTCR10A5TPA82000
1996,FORD,RANGER,1FTCR15X4TPA24134
1996,FORD,RANGER,1FTCR10A4TPB48911
1996,MAZDA,PROTEGE,JM1BB1418T0351075
1996,HONDA,CIVIC,2HGEJ6670TH541786
1996,LEXUS,SC,JT8CH32Y0T0049633
1996,TOYOTA,COROLLA,2T1BB02E7TC144747
1996,MERCURY,SABLE,1MELM55U9TG622178
1996,JEEP,CHEROKEE,1J4FT27S8TL102342
1996,GMC,"SIERRA C/K1500",2GTEC19R8T1559440
1996,TOYOTA,CAMRY,4T1CG12K5TU719122
1996,MERCEDES-BENZ,S-CLASS,WDBGA43E6TA302528
1996,MERCEDES-BENZ,E-CLASS,WDBJF55FXTJ003062
1996,TOYOTA,CAMRY,JT2BG12KXT0359961
1996,MERCEDES-BENZ,S-CLASS,WDBGA33E1TA325029
1996,TOYOTA,TACOMA,4TAWN72N4TZ188630
1996,HONDA,ACCORD,1HGCD5638TA038723
1996,CHEVROLET,"EXPRESS 1500",1GBFG15M5T1028631
1996,DODGE,"RAM 1500",3B7HC13Y3TG158138
1996,INFINITI,I30,JNKCA21D6TT300618
1996,TOYOTA,TACOMA,4TANL42N4TZ203871
1996,FORD,"CROWN VICTORIA",2FALP71W4TX138981
1996,FORD,E150,1FDEE14H0THA04192
1996,TOYOTA,T100,JT4TN14D8T0023757
1996,CHEVROLET,IMPALA,1G1BL52PXTR120842
1996,CHEVROLET,CORVETTE,1G1YY22P4T5100751
1996,TOYOTA,TACOMA,4TAWN72N2TZ088509
1996,DODGE,"RAM 2500 TRUCK",1B7KF26C8TS556151
1996,DODGE,B3500,2B5WB35Z6TK133113
1996,MERCURY,"GRAND MARQUIS",2MELM74W4TX665982
1996,TOYOTA,4RUNNER,JT3GN86R8T0005167
1996,PONTIAC,FIREBIRD,2G2FV22P4T2208715
1996,CADILLAC,"DE VILLE",1G6KD52Y2TU288987
1996,TOYOTA,CAMRY,4T1BG12K9TU748974
1996,PONTIAC,"GRAND AM",1G2NW52M4TC772008
1996,FORD,EXPLORER,1FMDU35P0TUD16519
1996,LINCOLN,"TOWN CAR",1LNLM82W5TY669089
1996,HONDA,ACCORD,1HGCD5638TA302104
1996,MERCEDES-BENZ,SL500,WDBFA67F8TF127809
1996,FORD,F250,1FTHX25F5TEB08919
1996,TOYOTA,T100,JT4UN24D5T0017053
1996,PORSCHE,911,WP0CA2996TS340933
1996,TOYOTA,CAMRY,4T1BG12K3TU690134
1996,JEEP,"GRAND CHEROKEE",1J4GZ78S2TC310599
1997,TOYOTA,"LAND CRUISER",JT3HJ85J3V0168940
1997,FORD,F-150,2FTDF07W6VCA17685
1997,HONDA,CIVIC,1HGEJ8540VL001735
1997,TOYOTA,CAMRY,4T1BG22K2VU135832
1997,HONDA,CIVIC,JHMEJ6578VS021359
1997,GEO,PRIZM,1Y1SK5282VZ407173
1997,HONDA,"ACCORD SDN",1HGCD5609VA161858
1997,FORD,F150,1FTDF1826VNA52481
1997,TOYOTA,AVALON,4T1BF12B5VU202288
1997,NISSAN,ALTIMA,1N4BU31D6VC111910
1997,BMW,"3 SERIES",WBACD4328VAV49952
1997,VOLVO,850,YV1LS5547V1394298
1997,CHEVROLET,"1500 EXTENDED CAB",2GCEK19MXV1270151
1997,BUICK,LESABRE,1G4HR52K4VH582788
1997,MERCEDES-BENZ,C-CLASS,WDBHA28E6VF518631
1997,CHEVROLET,TAHOE,1GNEK13R6VJ365033
1997,TOYOTA,CAMRY,4T1BF22K8VU035253
1997,PORSCHE,BOXSTER,WP0CA2981VS620799
1997,PORSCHE,BOXSTER,WP0CA2987VS624713
1997,HONDA,CIVIC,1HGEJ8248VL117334
1997,HONDA,CIVIC,2HGEJ6679VH537206
1997,TOYOTA,CAMRY,JT2BG22K2V0068217
1997,CHEVROLET,"SILVERADO AND OTHER C/K1500",1GCEK19R1VE126448
1997,TOY,CORO,2T1BA02E7VC217007
1997,VOLKSWAGEN,JETTA,3VWRB81H8VM078841
1997,JEEP,WRANGLER,1J4FY19S3VP448027
1997,TOYOTA,4RUNNER,JT3HN87R4V0081863
1997,MERCEDES-BENZ,C230,WDBHA23E5VF475309
1997,TOYOTA,4RUNNER,JT3GN86R2V0027779
1997,JEEP,WRANGLER,1J4FY19S1VP483567
1997,HOND,CIVIC,2HGEJ6571VH583856
1997,"AM GENERAL",HUMMER,137ZA8436VE174322
1997,TOY,CORO,1NXBB02EXVZ514283
1997,HONDA,CIVIC,2HGEJ6678VH585439
1997,SAAB,900,YS3DD78BXV7003077
1997,TOYOTA,4RUNNER,JT3HN87R7V0106643
1997,AUDI,CABRIOLET,WAUAA88G7VN003129
1997,BMW,"3 SERIES",4USCJ3323VLC03590
1997,BMW,"3 SERIES",WBABK7328VET65199
1997,HONDA,CIVIC,1HGEJ7227VL050802
1997,FORD,"F150 SUPER CAB",2FTDX17W4VCA12519
1997,TOYOTA,COROLLA,1NXBA02E8VZ542120
1997,FORD,TAUR,1FALP52U0VG312975
1997,JAGUAR,XK8,SAJGX5744VC008500
1997,LINCOLN,CONTINENTAL,1LNLM97V4VY679010
1997,VOLVO,850,YV1LS5549V1391676
1997,FORD,MUSTANG,1FALP46V9VF152498
1997,FORD,"F150 SUPER CAB",1FTDX18W5VNC43664
1997,FORD,F150,1FTDX1765VNC83177
1997,CHEVROLET,VENTURE,1GNDX03E1VD224518
1997,"LAND ROVER",DEFENDER,SALDV3246VA126524
1997,BMW,Z3,4USCH7324VLE02456
1997,TOYOTA,SUPRA,JT2DD82A3V0038221
1997,CHEVROLET,"SILVERADO AND OTHER C/K1500",2GCEK19R2V1192542
1997,CHEVROLET,VENTURE,1GNDU06E7VD105862
1997,LEXUS,"LS 400",JT8BH28F4V0087297
1997,CHEVROLET,LUMINA,2G1WL52M9V9275659
1997,BMW,528I,WBADD5320VBV52798
1997,JEEP,WRANGLER,1J4FY19S7VP422756
1997,TOYOTA,CAMRY,4T1BG22K5VU778093
1997,FORD,RANGER,1FTCR14X3VT191163
1997,VOLVO,850,YV1LS554XV1377866
1997,TOYOTA,4RUNNER,JT3HN86R7V0125792
1997,BMW,Z3,4USCH7320VLE04429
1997,FORD,ESCORT,1FALP13P4VW287389
1997,MAZDA,"MX-5 MIATA",JM1NA3535V0734826
1997,HONDA,ACCORD,1HGCD5633VA086018
1997,"LAND ROVER","RANGE ROVER",SALPV1446VA352691
1997,MERCEDES-BENZ,E-CLASS,WDBJF55F4VA258759
1997,INFINITI,Q,JNKBY31D4VM003115
1997,GMC,"SIERRA C/K1500",2GTEC19R6V1564218
1997,FORD,F150,2FTDF1720VCA25154
1997,INFINITI,I,JNKCA21D6VT514656
1997,PONTIAC,FIREBIRD,2G2FS32K3V2209683
1997,MERCURY,"GRAND MARQUIS",2MELM75W7VX683555
1997,TOYOTA,AVALON,4T1BF12B9VU140071
1997,TOYOTA,SUPRA,JT2DD82A8V1000090
1997,MERCEDES-BENZ,E320,WDBJF55FXVA349650
1997,"LAND ROVER",DEFENDER,SALDV3249VA122869
1997,TOYOTA,AVALON,4T1BF12B7VU168614
1997,JAGUAR,XK8,SAJGX2744VC012979
1997,PONTIAC,"GRAND PRIX",1G2WP12K8VF218495
1997,TOYOTA,TACOMA,4TANL42N5VZ291591
1997,CHEVROLET,SUBURBAN,3GNEC16R0VG133859
1997,HONDA,ACCORD,1HGCD726XVA025289
